 23.9° 39%
 0xFA, 0x28, 0x14, 0x9C, 0x90, 0x23, 0x90, 0x83, 0x55, 0x2D
 24.3° 25%
 0xFA, 0x28, 0x14, 0x9C, 0x32, 0x24, 0x50, 0x82, 0x4D, 0x94

 0xFA, 0x28, 0x14, 0x9C, 0x90, 0x23, 0x90, 0x83, 0x55, 0x2D
 0xFA, 0x28, 0x14, 0x9C, 0x80, 0x23, 0x90, 0x83, 0x54, 0x3B


 0xFA, 0x28, 0x14, 0xFC, 0x80, 0x24, 0x50, 0x56, 0x57, 0x7F 
 0xFA, 0x28, 0x14, 0xFC, 0x70, 0x24, 0x50, 0x56, 0x56, 0xAD 
 0xFA, 0x28, 0x14, 0xFC, 0x60, 0x24, 0x50, 0x56, 0x55, 0xBB 
 0xFA, 0x28, 0x14, 0xFC, 0x50, 0x24, 0x50, 0x56, 0x54, 0x81 
 0xFA, 0x28, 0x14, 0xFC, 0x50, 0x24, 0x60, 0x56, 0x55, 0xBE 
 0xFA, 0x28, 0x14, 0xFC, 0x30, 0x24, 0x60, 0x56, 0x53, 0xCA 
 0xFA, 0x28, 0x14, 0xFC, 0x32, 0x24, 0x60, 0x46, 0x54, 0x03 
 0xFA, 0x28, 0x14, 0xFC, 0x22, 0x24, 0x60, 0x46, 0x53, 0x15 

//первая посылка после ресета
 0xFA, 0x28, 0x14, 0xA3, 0x88, 0x24, 0x00, 0x47, 0x4C, 0x9C 
 0xFA, 0x28, 0x14, 0x7A, 0x98, 0x24, 0x00, 0x47, 0x51, 0xDB 
 0xFA, 0x28, 0x14, 0x52, 0x08, 0x25, 0x00, 0x47, 0x3F, 0x8C 
 0xFA, 0x28, 0x14, 0x25, 0x28, 0x25, 0x10, 0xC7, 0x4A, 0x3A 
 0xFA, 0x28, 0x14, 0x72, 0x38, 0x25, 0x20, 0xC7, 0x4E, 0x60 
 0xFA, 0x28, 0x14, 0x4F, 0x78, 0x25, 0x50, 0xC7, 0x5F, 0x98 
 0xFA, 0x28, 0x14, 0xB9, 0x98, 0x25, 0x60, 0xC7, 0x63, 0xFF 
 0xFA, 0x28, 0x14, 0x5F, 0x08, 0x26, 0x60, 0xC7, 0x5B, 0x46 
 0xFA, 0x28, 0x14, 0x9B, 0x18, 0x26, 0x60, 0xC7, 0x5C, 0x0E 
 0xFA, 0x28, 0x14, 0x17, 0x28, 0x26, 0x60, 0xC7, 0x51, 0x72 
 0xFA, 0x28, 0x14, 0x15, 0x48, 0x26, 0x70, 0xC7, 0x52, 0x77 
 0xFA, 0x28, 0x14, 0xF1, 0x58, 0x26, 0x80, 0xC7, 0x5E, 0x38 
 0xFA, 0x28, 0x14, 0xC3, 0x68, 0x26, 0x80, 0xC7, 0x5E, 0xC0 
 0xFA, 0x28, 0x14, 0xAE, 0x78, 0x26, 0x80, 0xC7, 0x68, 0xF0 
 0xFA, 0x28, 0x14, 0xCB, 0x88, 0x26, 0x90, 0xC7, 0x69, 0x86 
 0xFA, 0x28, 0x14, 0x52, 0x98, 0x26, 0x00, 0xC8, 0x52, 0x2D 
 0xFA, 0x28, 0x14, 0x47, 0x08, 0x27, 0x00, 0xC8, 0x4E, 0xB1
 
 0xFA, 0x28, 0x14, 0xFB, 0x68, 0x27, 0x70, 0xC7, 0x69, 0x90 
 0xFA, 0x28, 0x14, 0xFB, 0x38, 0x27, 0x90, 0x06, 0x5B, 0x5C 
 0xFA, 0x28, 0x14, 0xFB, 0x18, 0x27, 0x60, 0x06, 0x56, 0xB3 
 0xFA, 0x28, 0x14, 0xFB, 0x58, 0x26, 0x20, 0x06, 0x55, 0x1D 
 0xFA, 0x28, 0x14, 0xFB, 0x28, 0x26, 0x10, 0x06, 0x51, 0x40 
 0xFA, 0x28, 0x14, 0xFB, 0x68, 0x25, 0x10, 0x06, 0x54, 0xF9 
 0xFA, 0x28, 0x14, 0xFB, 0x28, 0x25, 0x10, 0x06, 0x50, 0xA1 
 0xFA, 0x28, 0x14, 0xFB, 0x18, 0x25, 0x10, 0x06, 0x4F, 0x9B 
 0xFA, 0x28, 0x14, 0xFB, 0x08, 0x25, 0x10, 0x46, 0x52, 0x91 
 0xFA, 0x28, 0x14, 0xFB, 0x98, 0x24, 0x10, 0x46, 0x5A, 0x95 
 0xFA, 0x28, 0x14, 0xFB, 0x88, 0x24, 0x20, 0x46, 0x5A, 0xBC 
 0xFA, 0x28, 0x14, 0xFB, 0x78, 0x24, 0x20, 0x46, 0x59, 0x6E 
 0xFA, 0x28, 0x14, 0xFB, 0x68, 0x24, 0x30, 0x46, 0x59, 0x6D 
 0xFA, 0x28, 0x14, 0xFB, 0x38, 0x24, 0x30, 0x46, 0x56, 0x23 
 0xFA, 0x28, 0x14, 0xFB, 0x38, 0x24, 0x40, 0x46, 0x57, 0x48 













